"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"PRINCE LANDING",NA,"PRINCE LANDING","WASHINGTON",NA,NA,"AL","1878",TRUE,"1879","8",46840,"Washington","PRINCES LANDING","WASHINGTON","AL","138801","Locale","Princes Landing (historical)","Washington","31.5282189","-87.9561122","4","13",TRUE,0.928571428571429
"PYMATONING",NA,"PYMATONING","MERCER",NA,NA,"PA","1839",TRUE,"1840","9",47174,"Mercer","PYMATUNING","MERCER","PA","1214221","Locale","Pymatuning","Mercer","41.3044999","-80.4431244","286","938",TRUE,0.9
"RABURNVILLE",NA,"RABURNVILLE","ITAWAMBA",NA,NA,"MS","1890",TRUE,"1905","5",47346,"Itawamba","RAYBURNVILLE","ITAWAMBA","MS","706267","Locale","Rayburnville (historical)","Itawamba","34.3306582","-88.3833797","115","377",TRUE,0.909090909090909
"RAMBO'S MILLS","RAMBOS MILLS","RAMBO'S MILLS","LEXINGTON",NA,NA,"SC","1828",TRUE,"1829","9",47470,"Lexington","RAMBOS MILL","LEXINGTON","SC","1244332","Locale","Rambos Mill (historical)","Lexington","33.7015392","-81.2853795","78","256",TRUE,0.846153846153846
"READVILLE",NA,"READVILLE","NORFOLK",NA,NA,"MA","1879",TRUE,"1895","4",47761,"Norfolk","DEANVILLE","NORFOLK","MA","606181","Locale","Deanville (historical)","Norfolk","42.1314867","-71.3620022","44","144",TRUE,0.777777777777778
"RED STORE",NA,"RED STORE","PHILLIPS",NA,NA,"AR","1878",TRUE,"1906","5",47906,"Phillips","KEY STORE","PHILLIPS","AR","81655","Locale","Key Store (historical)","Phillips","34.4176025","-90.7859432","53","174",TRUE,0.777777777777778
"RHEA'S FORGE","RHEAS FORGE","RHEA'S FORGE","JOHNSON",NA,NA,"TN","1888",FALSE,"1895","5",48367,"Johnson","RHEA FORGE","JOHNSON","TN","1640607","Locale","Rhea Forge (historical)","Johnson","36.4337321","-81.7831698","704","2310",TRUE,0.833333333333333
"RICHMOND CAMPGROUND",NA,"RICHMOND CAMPGROUND","SAGADAHOC",NA,NA,"ME","1880",FALSE,"1923","3",48550,"Sagadahoc","RICHMOND CAMP GROUND","SAGADAHOC","ME","574175","Locale","Richmond Camp Ground","Sagadahoc","44.1256285","-69.7714339","41","135",TRUE,0.947368421052632
"ROBERSON FORK",NA,"ROBERSON FORK","MARSHALL",NA,NA,"TN","1874",TRUE,"1902","5",49016,"Marshall","ROBERTSON FORK","MARSHALL","TN","1652489","Locale","Robertson Fork","Marshall","35.3720206","-86.9188925","250","820",TRUE,0.923076923076923
"ROBINIA",NA,"ROBINIA","PANOLA",NA,NA,"MS","1844",TRUE,"1867","7",49068,"Panola","ROBINA","PANOLA","MS","685730","Locale","Robina (historical)","Panola","34.2190002","-90.0206463","99","325",TRUE,0.857142857142857
"ROCK CASTLE",NA,"ROCK CASTLE","TUSCALOOSA",NA,NA,"AL","1912",TRUE,"1941","2",49137,"Tuscaloosa","ROCKCASTLE","TUSCALOOSA","AL","158913","Locale","Rockcastle","Tuscaloosa","33.2790041","-87.2174978","157","515",TRUE,0.909090909090909
"ROCKWALL",NA,"ROCKWALL","UNION",NA,NA,"MS","1897",TRUE,"1905","5",49316,"Union","ROCKWELL","UNION","MS","683610","Locale","Rockwell (historical)","Union","34.5195446","-88.8333922","136","446",TRUE,0.875
"ROGERS CROSS ROADS",NA,"ROGERS CROSS ROADS","WAYNE",NA,NA,"NY","1818",TRUE,"1825","7",49441,"Wayne","ROGERS CROSSROADS","WAYNE","NY","2380769","Locale","Rogers Crossroads","Wayne","43.1072222","-76.7286111","130","427",TRUE,0.944444444444444
"RUSHING'S STORE","RUSHINGS STORE","RUSHING'S STORE","LAUDERDALE",NA,NA,"MS","1860",FALSE,"1907","4",50142,"Lauderdale","RUSHING STORE","LAUDERDALE","MS","684039","Locale","Rushing Store (historical)","Lauderdale","32.5509725","-88.8208829","118","387",TRUE,0.866666666666667
"SAW MILL",NA,"SAW MILL","CHATTOOGA",NA,NA,"GA","1882",TRUE,"1900","5",51255,"Chattooga","LAWS MILL","CHATTOOGA","GA","344461","Locale","Laws Mill (historical)","Chattooga","34.5725842","-85.188285","231","758",TRUE,0.75
"SEITZ",NA,"SEITZ","NESHOBA",NA,NA,"MS","1905",TRUE,"1913","4",51777,"Neshoba","SCITZ","NESHOBA","MS","707231","Locale","Scitz (historical)","Neshoba","32.7145795","-89.1506167","127","417",TRUE,0.8
"SELSARTOWN",NA,"SELSARTOWN","ADAMS",NA,NA,"MS","1844",TRUE,"1844","9",51826,"Adams","SELSERTOWN","ADAMS","MS","686071","Locale","Selsertown (historical)","Adams","31.6279435","-91.236221","125","410",TRUE,0.9
